bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
95,True,82,10816496,0.0101,0,23,4,0,"{""snapshot_file"": 82}","{""binary_or_unknown"": 81, ""json_like"": 1}"
96,True,73,597340352,0.5563,0,28,4,2,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
97,True,74,19187808,0.0179,0,28,3,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 73, ""json_like"": 1}"
98,True,83,307406688,0.2863,0,37,3,1,"{""snapshot_file"": 83}","{""binary_or_unknown"": 83}"
99,True,77,10312384,0.0096,0,27,3,0,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
9a,True,82,29886160,0.0278,0,36,5,0,"{""snapshot_file"": 82}","{""binary_or_unknown"": 81, ""json_like"": 1}"
9b,True,70,626418480,0.5834,0,30,4,2,"{""snapshot_file"": 70}","{""binary_or_unknown"": 69, ""json_like"": 1}"
9c,True,93,343022928,0.3195,0,48,6,1,"{""snapshot_file"": 93}","{""binary_or_unknown"": 93}"
9d,True,79,314541456,0.2929,0,24,3,1,"{""snapshot_file"": 79}","{""binary_or_unknown"": 79}"
9e,True,74,360595888,0.3358,0,31,5,1,"{""snapshot_file"": 74}","{""binary_or_unknown"": 73, ""json_like"": 1}"
9f,True,79,318279376,0.2964,0,39,3,1,"{""snapshot_file"": 79}","{""binary_or_unknown"": 77, ""json_like"": 2}"
a0,True,65,335625568,0.3126,0,28,2,1,"{""snapshot_file"": 65}","{""binary_or_unknown"": 65}"
a1,True,88,6009440,0.0056,0,38,0,0,"{""snapshot_file"": 88}","{""binary_or_unknown"": 88}"
a2,True,72,679217040,0.6326,0,22,3,2,"{""snapshot_file"": 72}","{""binary_or_unknown"": 72}"
a3,True,94,647564656,0.6031,0,42,4,2,"{""snapshot_file"": 94}","{""binary_or_unknown"": 94}"
a4,True,91,329475200,0.3068,0,40,2,1,"{""snapshot_file"": 91}","{""binary_or_unknown"": 89, ""json_like"": 2}"
a5,True,66,9205184,0.0086,0,26,3,0,"{""snapshot_file"": 66}","{""binary_or_unknown"": 66}"
a6,True,77,8963456,0.0083,0,29,2,0,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
a7,True,91,588895312,0.5485,0,38,5,1,"{""snapshot_file"": 91}","{""binary_or_unknown"": 91}"
a8,True,75,321318160,0.2993,0,37,3,1,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
a9,True,91,670922736,0.6248,0,39,4,2,"{""snapshot_file"": 91}","{""binary_or_unknown"": 91}"
aa,True,64,335160976,0.3121,0,25,4,1,"{""snapshot_file"": 64}","{""binary_or_unknown"": 64}"
ab,True,69,377126784,0.3512,0,26,5,1,"{""snapshot_file"": 69}","{""binary_or_unknown"": 69}"
ac,True,69,8003808,0.0075,0,17,2,0,"{""snapshot_file"": 69}","{""binary_or_unknown"": 67, ""json_like"": 2}"
ad,True,84,571600096,0.5323,0,30,7,2,"{""snapshot_file"": 84}","{""binary_or_unknown"": 84}"
ae,True,71,323368240,0.3012,0,39,3,1,"{""snapshot_file"": 71}","{""binary_or_unknown"": 70, ""json_like"": 1}"
af,True,88,635643984,0.592,0,27,5,2,"{""snapshot_file"": 88}","{""binary_or_unknown"": 88}"
b0,True,81,342548304,0.319,0,34,5,1,"{""snapshot_file"": 81}","{""binary_or_unknown"": 81}"
b1,True,81,325532688,0.3032,0,40,3,1,"{""snapshot_file"": 81}","{""binary_or_unknown"": 80, ""json_like"": 1}"
b2,True,76,363526976,0.3386,0,20,5,1,"{""snapshot_file"": 76}","{""binary_or_unknown"": 75, ""json_like"": 1}"
b3,True,78,316284816,0.2946,0,29,5,1,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
b4,True,86,343056000,0.3195,0,34,3,1,"{""snapshot_file"": 86}","{""binary_or_unknown"": 84, ""json_like"": 2}"
b5,True,68,18267104,0.017,0,29,3,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 67, ""json_like"": 1}"
b6,True,79,8787712,0.0082,0,28,4,0,"{""snapshot_file"": 79}","{""binary_or_unknown"": 79}"
b7,True,91,19555808,0.0182,0,29,2,0,"{""snapshot_file"": 91}","{""binary_or_unknown"": 91}"
b8,True,67,11868528,0.0111,0,21,4,0,"{""snapshot_file"": 67}","{""binary_or_unknown"": 65, ""json_like"": 2}"
b9,True,60,645807408,0.6015,0,15,7,2,"{""snapshot_file"": 60}","{""binary_or_unknown"": 60}"
ba,True,69,7473392,0.007,0,24,2,0,"{""snapshot_file"": 69}","{""binary_or_unknown"": 69}"
bb,True,70,643976128,0.5997,0,26,6,2,"{""snapshot_file"": 70}","{""binary_or_unknown"": 69, ""json_like"": 1}"
bc,True,78,309010640,0.2878,0,32,3,1,"{""snapshot_file"": 78}","{""binary_or_unknown"": 76, ""json_like"": 2}"
bd,True,85,6511456,0.0061,0,39,1,0,"{""snapshot_file"": 85}","{""binary_or_unknown"": 84, ""json_like"": 1}"
be,True,75,7065984,0.0066,0,34,2,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
bf,True,96,11573936,0.0108,0,40,4,0,"{""snapshot_file"": 96}","{""binary_or_unknown"": 96}"
c0,True,71,12299920,0.0115,0,19,2,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 70, ""json_like"": 1}"
c1,True,76,429944720,0.4004,0,27,4,2,"{""snapshot_file"": 76}","{""binary_or_unknown"": 75, ""json_like"": 1}"
c2,True,75,349740640,0.3257,0,36,2,1,"{""snapshot_file"": 75}","{""binary_or_unknown"": 74, ""json_like"": 1}"
c3,True,76,8435952,0.0079,0,36,4,0,"{""snapshot_file"": 76}","{""binary_or_unknown"": 76}"
c4,True,70,7252128,0.0068,0,24,2,0,"{""snapshot_file"": 70}","{""binary_or_unknown"": 70}"
c5,True,60,780956544,0.7273,0,25,6,3,"{""snapshot_file"": 60}","{""binary_or_unknown"": 60}"
c6,True,93,24353408,0.0227,0,43,4,0,"{""snapshot_file"": 93}","{""binary_or_unknown"": 92, ""json_like"": 1}"
c7,True,77,322507152,0.3004,0,29,6,1,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
c8,True,76,6823248,0.0064,0,35,1,0,"{""snapshot_file"": 76}","{""binary_or_unknown"": 75, ""json_like"": 1}"
c9,True,90,337595248,0.3144,0,36,5,1,"{""snapshot_file"": 90}","{""binary_or_unknown"": 90}"
ca,True,87,764101056,0.7116,0,35,6,2,"{""snapshot_file"": 87}","{""binary_or_unknown"": 87}"
cb,True,77,8719920,0.0081,0,33,2,0,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
cc,True,91,324751552,0.3024,0,35,4,1,"{""snapshot_file"": 91}","{""binary_or_unknown"": 91}"
cd,True,67,13492688,0.0126,0,29,2,0,"{""snapshot_file"": 67}","{""binary_or_unknown"": 67}"
ce,True,85,625516288,0.5826,0,41,3,2,"{""snapshot_file"": 85}","{""binary_or_unknown"": 85}"
cf,True,75,4084720,0.0038,0,34,1,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 73, ""json_like"": 2}"
d0,True,72,324322720,0.302,0,35,4,1,"{""snapshot_file"": 72}","{""binary_or_unknown"": 71, ""json_like"": 1}"
d1,True,84,940419072,0.8758,0,26,8,3,"{""snapshot_file"": 84}","{""binary_or_unknown"": 84}"
d2,True,85,322052880,0.2999,0,41,2,1,"{""snapshot_file"": 85}","{""binary_or_unknown"": 84, ""json_like"": 1}"
d3,True,74,664598896,0.619,0,34,5,2,"{""snapshot_file"": 74}","{""binary_or_unknown"": 73, ""json_like"": 1}"
d4,True,68,25847328,0.0241,0,29,3,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 67, ""json_like"": 1}"
d5,True,73,9418576,0.0088,0,30,4,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
d6,True,78,321050384,0.299,0,29,4,1,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
d7,True,80,15803328,0.0147,0,29,2,0,"{""snapshot_file"": 80}","{""binary_or_unknown"": 79, ""json_like"": 1}"
d8,True,83,53541584,0.0499,0,29,6,0,"{""snapshot_file"": 83}","{""binary_or_unknown"": 82, ""json_like"": 1}"
d9,True,80,348093840,0.3242,0,32,3,1,"{""snapshot_file"": 80}","{""binary_or_unknown"": 79, ""json_like"": 1}"
da,True,67,9747984,0.0091,0,23,3,0,"{""snapshot_file"": 67}","{""binary_or_unknown"": 67}"
db,True,82,8817520,0.0082,0,41,3,0,"{""snapshot_file"": 82}","{""binary_or_unknown"": 81, ""json_like"": 1}"
